1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Il y a un bassin d'emploi très attractif. Des gens chaleureux et toujours de l'activité.;Non;Non;Non;Non;;Non;"le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;25-35 ans;sans emploi;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
améliorer la mixité sociale,mieux organiser l'accueil des étudiants dans la MEL,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Ville vivante, pour avoir accès à tout;Oui;Non;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Wattignies;individuel;propriétaire occupant;autre
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;Tout à proximité;Oui;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Madelaine;collectif;locataire d'un logement social;je vis en colocation
construire plus de logements,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités;des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée;Grande ville;Non;Oui;Non;Non;ne se prononce pas;Non;votre mairie;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,améliorer la mixité sociale,rénover l'habitat dégradé;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;;Non;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;;collectif;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;trouver de l'aide,un conseil adapté;Ville qui bouge et métro pratique;Oui;Non;Non;Non;;Non;"le groupe ""Action logement""";Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Loos;individuel;propriétaire occupant;je vis seul sans enfant
faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des difficultés pour obtenir un prêt;des difficultés de financement;Études;Non;Non;Non;Non;;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Emmerin;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,un dispositif d'aides trop complexe;"Transports collectifs qui rayonnent
La culture au rendez vous";Non;Oui;Oui;Non;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;retraité;Marquette lez lille;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,un dispositif d'aides trop complexe;ce n'est pas un choix mais une nécessité professionnelle;Oui;Oui;Oui;Oui;bouche à oreille;Non;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants;35-49 ans;emploi salarié;lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;le secteur est attrayant économiquement et sur le plan culturel, sportif;Non;Non;Non;Oui;autre;Oui;un bailleur social,votre mairie;Oui;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;saint andré lez lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,améliorer l'habitat existant sur le plan énergétique,améliorer l'attribution des logements sociaux;des garanties financières trop sélectives,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;"attractivité du territoire
dynamique culturelle";Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;emploi salarié;Arleux;collectif;locataire d'un logement privé;je vis en couple sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des difficultés pour obtenir un prêt;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;Ville dynamique plus étudiante et connectée plus divertissement;Oui;Oui;Oui;Non;ne se prononce pas;Non;"le groupe ""Action logement""";Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;Wasquehal;collectif;locataire d'un logement privé;je vis seul sans enfant
améliorer la mixité sociale,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;Vivant;Non;Non;Non;Non;;Non;"votre mairie,le groupe ""Action logement""";Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lambersart;individuel;propriétaire occupant;je vis seul sans enfant
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,autre;des montants de loyers trop élevés dans les quartiers souhaités,autre;des prix trop élevés dans les quartiers souhaités,autre;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Pas le choix, pour être proche de son travail.;Oui;Non;Non;Non;;Non;votre mairie,la MEL;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants;25-35 ans;emploi salarié;Lomme;individuel;locataire d'un logement social;je vis en couple sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des logements de trop faible qualité;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;"plus de culture, plus proche du centre de lille, plus de transport en commun;";Non;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;35-49 ans;emploi salarié;haubourdin;collectif;locataire d'un logement social;je vis seul sans enfant
autre;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,la crainte que les travaux se passent mal;;Oui;Oui;Non;Non;;Non;un bailleur social;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;25-35 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,améliorer la mixité sociale;ne se prononce pas;ne se prononce pas;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;;Oui;Non;Non;Non;ne se prononce pas;;;Non;;;un service de mise en relation avec les entreprises qualifiées;plus de 65 ans;retraité;59390;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);un dispositif d'aides trop complexe,la crainte que les travaux se passent mal;"attractivité liée à l'offre d'emplois 
offre en matière d'études universitaires
métropole";Oui;Oui;Oui;Oui;autre;Non;"le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;plus de 65 ans;retraité;Saint André lez Lille;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;Parce qu'on est près des grandes infrastructures (hôpitaux, musées, bibliothèques) et près de son lieu de travail surtout !!;Oui;Oui;Non;Oui;journaux locaux (ville, MEL), bouche à oreille;Non;un bailleur social,votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Villeneuve d'Ascq;collectif;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;pôle d'emplois, accessibilité Londres / Paris / Bruxelles;Oui;Oui;Non;Oui;autre;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);autre;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;35-49 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Attractivité.;Non;Oui;Oui;Oui;internet;Oui;un bailleur social;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi non salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;parce que c'est un bassin d'emplois;Non;Non;Non;Non;;Non;un bailleur social;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;sans emploi;saint-andré-lez-lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,améliorer la mixité sociale,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;La MÉL est un véritable carrefour entre Bruxelles, Paris et Londres. Elle a une image internationale qui séduit les compagnies étrangères et donc de potentiels nouveaux habitants.;Non;Non;Non;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Croix, 59170;individuel;propriétaire occupant;autre
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux,résorber les bidonvilles;des logements de trop faible qualité,autre;des biens vétustes nécessitant trop de travaux,autre;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;Par nécessité.;Oui;Oui;Non;Oui;autre;Oui;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);plus de 65 ans;retraité;Roubaix;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;ne se prononce pas;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;parce qu'on y travaille;Oui;Non;Non;Non;;Non;votre mairie;Oui;;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;loos;collectif;propriétaire occupant;je vis seul sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;ne se prononce pas;Pour Lille, principale et unique ville dynamique des Hauts de France (culture, sportive, eco...);Oui;Oui;Non;Non;;;;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux;35-49 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,améliorer l'attribution des logements sociaux;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;"pour les infrastructures, notamment les moyens de transport ;
pour vivre près de son lieu de travail (davantage de probabilité de trouver un emploi dans une métropole) ;
pour faire partie d'une communauté d'envergure, qui a donc des moyens et des projets";Non;Non;Non;Non;;Non;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;sans emploi;Seclin;collectif;propriétaire occupant;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Pour l'emploi en premier puis pour les transports en communs multiples et pratiques, pour l'accès multiple à la culture, pour son tissu associatif...;Non;Oui;Non;Non;journaux locaux (ville, MEL);Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé;des garanties financières trop sélectives,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);un dispositif d'aides trop complexe,ne se prononce pas;La ville est propre dynamique et culturel;Non;Oui;Non;Non;ne se prononce pas;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants;35-49 ans;emploi non salarié;Leers;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver de l'aide,un conseil adapté;Ville étudiante transport facile activités culturelle et accessible proch de beaucoup de pays;Oui;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Lille;individuel;propriétaire occupant;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,un dispositif d'aides trop complexe;Son dynamisme;Oui;Non;Non;Oui;journaux locaux (ville, MEL);Oui;un bailleur social;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux,un préfinancement des travaux;25-35 ans;emploi salarié;Villeneuve d'Ascq;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Facilité de transport;Oui;Non;Non;Non;internet;Non;la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants;18-24 ans;étudiant;Hantay;collectif;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,un dispositif d'aides trop complexe;"attractivité de Lille et présence accrue des services (administrations, services, offres culturelles). 
Tout est massé à Lille, ce qui  va provoquer engorgement et favoriser des zones ""désertiques"" en services au sein même de la MEL";Oui;Oui;Non;Non;;Non;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;lille;collectif;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,adapter les logements au vieillissement,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,la crainte que les travaux se passent mal;Proche de tout;Oui;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux;18-24 ans;étudiant;Houplin ancoisne;individuel;propriétaire occupant;autre
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;Tout à proximité;Non;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Lille;individuel;propriétaire occupant;autre
construire plus de logements,améliorer la mixité sociale,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;Proche des transports;Non;Non;Non;Non;;Non;un bailleur social;;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Lille;individuel;locataire d'un logement privé;je vis en colocation
